,case number,Timestamp,Who was the member adjudicating the decision?,What was the location of the landlord tenant board?,Did the decision state the landlord was represented?,Did the decision state the landlord attended the hearing?,Did the decision state the tenant was represented?,Did the decision state the tenant attended the hearing?,Did the decision state the landlord was a not-for-profit landlord (e.g. Toronto Community Housing)?,Did the decision state the tenant was collecting a subsidy?,What was the outcome of the case?,"What was the length of the tenancy, or in other words, how long had the tenants lived at the residence in question? ",What was the monthly rent?,What was the amount of the rental deposit? ,"If any rent increases occurred, what was the rent after the increase(s)?",What was the total amount of arrears?,Over how many months did the arrears accumulate? ,"If the tenant made a payment on the arrears after the eviction notice was served and/or prior to the hearing, what was the amount of the payment? ","Did the decision mention a history of arrears by the tenant separate from the arrears in the current claim (more than one period of arrears, recurrently coming in and out of arrears, arrears with previous landlord, etc.)?","Did the member find the tenant had or seemed to have the ability to pay rent, but chose not do so?","What were the specific mental, medical, or physical conditions of the tenant, if any? ",Did the decision state that the tenant had children living with them?,Was the tenant employed at the time of the hearing?,"If the tenant was not employed, did the decision state the tenant was receiving any form of government assistance (e.g. OW, childcare benefits, ODSP, OSAP)?","If the tenant was employed, did the decision state any doubts about the stability of employment e.g. lack of guaranteed hours, contract work, etc.?",Did the member find the tenant had sufficient income to pay rent?,Did the decision mention the tenant lost their job leading up to or during the period of the hearing?,"Did the decision mention any other extenuating circumstances experienced by the tenant leading up to or during the period of the claim (e.g. hospitalization, death in the family, etc.)?","Did the decision mention the tenant’s difficulty finding alternative housing for any reason e.g.physical limitations, reliance on social assistance, etc.?",Did the decision state the tenant was given prior notice for the eviction?,Did the decisions state postponement would result in the tenant accruing additional arrears?,Which other specific applications of the landlord or the tenant were mentioned?,Did the decision mention the validity of an N4 eviction notice?,Payment Plan
176,TEL-04599-19,12/26/2020 22:45:26,Shelby Whittick,Whitby,0,1,0,1,0,0,Probation,6.306049004594181,825.0,1365.9816966067865,0,3100.0,4.0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,"['L1', 'L2', 'N5', 'N8']",1,0.0
177,HOL-02119-17,12/27/2020 14:30:06,Jean-Paul Pilon,Toronto,1,1,0,1,0,0,No relief,8.0,2000.0,2000.0,0,3000.0,4.0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,[],1,0.0
178,TEL-04649-19,12/27/2020 16:04:56,Tamara Irwin,Toronto,1,1,0,1,0,0,No relief,7.0,500.0,500.0,0,3000.0,6.0,0,0,0,0,0,-1,-1,0,1,0,1,0,1,0,[],0,0.0
179,TSL-89175-17,12/27/2020 16:09:15,Roger Rodrigues,Toronto,1,1,0,1,0,0,Postponement of eviction,24.0,2100.0,2100.0,0,8164.11,7.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,[],1,0.0
180,TEL-05033-19,12/27/2020 16:11:31,Sonia Anwar-Ali,Peterborough,1,1,0,1,0,0,No relief,58.0,1300.0,1300.0,0,14735.0,10.0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,[],0,0.5
181,TEL-05071-19,12/27/2020 16:21:43,Sonia Anwar-Ali,Toronto,1,1,0,1,0,0,Relief from eviction subject to conditions,6.306049004594181,1142.91,1365.9816966067865,0,0.0,0.0,0,0,0,0,0,1,0,-1,1,0,0,0,1,0,"['L2', 'N8']",0,0.0
182,TSL-89758-17,12/27/2020 16:23:47,Renee Lang,Toronto,1,0,0,1,0,0,No relief,6.306049004594181,1577.0,1577.0,0,1348.01,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['T3', 'T6']",0,0.0
183,TEL-05202-19,12/27/2020 16:32:06,Sonia Anwar-Ali,Whitby,1,1,0,1,0,0,Payment plan,6.306049004594181,1595.9445741324917,1365.9816966067865,0,2237.85,4.0,1,0,0,1,0,-1,1,0,0,0,1,0,1,0,[],0,1.0
184,TSL-89992-17-RV,12/27/2020 16:32:10,Laura Hartslief,Whitby,1,1,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,2450.0,0,4900.0,3.0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,[],0,0.5
185,TSL-90310-17,12/27/2020 16:40:53,"Roger Rodrigues, David Lee",Toronto,1,0,0,1,0,0,No relief,6.306049004594181,1595.9445741324917,950.0,0,5050.0,4.0,1,0,0,1,0,-1,0,1,0,1,1,0,0,0,[],0,0.5
186,TEL-05412-19,12/27/2020 16:41:13,Laura Hartslief,Whitby,1,0,0,0,0,0,No relief,28.0,1445.29,1445.29,0,12623.74,9.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
187,TEL-05656-19,12/27/2020 16:50:04,Shelby Whittick,Toronto,0,1,0,1,0,0,Payment plan,6.306049004594181,1800.0,1365.9816966067865,0,1778.79,1.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2', 'N5']",0,1.0
188,TSL-90379-17,12/27/2020 16:50:43,Roderick Flynn,Toronto,0,1,0,0,0,0,No relief,6.306049004594181,1595.9445741324917,900.0,0,4800.0,7.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"['L1', 'L2']",0,0.0
